# Stationsname:	Deutsch Haslau
# Stationsnummer:	209007
# Parameter:	Wasserstand [cm]
# Messwerte
# DeutschHaslau_W_5a
TSTAMP	Wasserstand [cm]
				
15.06.2009 00:00	15.06.2009 00:05	220	U	ungeprueft
15.06.2009 00:05	15.06.2009 00:10	220	U	ungeprueft
15.06.2009 00:10	15.06.2009 00:15	220	U	ungeprueft
15.06.2009 00:15	15.06.2009 00:20	220	U	ungeprueft
15.06.2009 00:20	15.06.2009 00:25	220	U	ungeprueft
15.06.2009 00:25	15.06.2009 00:30	220	U	ungeprueft
15.06.2009 00:30	15.06.2009 00:35	220	U	ungeprueft
15.06.2009 00:35	15.06.2009 00:40	220	U	ungeprueft
15.06.2009 00:40	15.06.2009 00:45	220	U	ungeprueft
15.06.2009 00:45	15.06.2009 00:50	220	U	ungeprueft
15.06.2009 00:50	15.06.2009 00:55	220	U	ungeprueft
15.06.2009 00:55	15.06.2009 01:00	220	U	ungeprueft
15.06.2009 01:00	15.06.2009 01:05	220	U	ungeprueft
15.06.2009 01:05	15.06.2009 01:10	220	U	ungeprueft
15.06.2009 01:10	15.06.2009 01:15	220	U	ungeprueft
15.06.2009 01:15	15.06.2009 01:20	220	U	ungeprueft
15.06.2009 01:20	15.06.2009 01:25	220	U	ungeprueft
15.06.2009 01:25	15.06.2009 01:30	220	U	ungeprueft
15.06.2009 01:30	15.06.2009 01:35	220	U	ungeprueft
15.06.2009 01:35	15.06.2009 01:40	220	U	ungeprueft
15.06.2009 01:40	15.06.2009 01:45	220	U	ungeprueft
15.06.2009 01:45	15.06.2009 01:50	220	U	ungeprueft
15.06.2009 01:50	15.06.2009 01:55	220	U	ungeprueft
15.06.2009 01:55	15.06.2009 02:00	220	U	ungeprueft
15.06.2009 02:00	15.06.2009 02:05	220	U	ungeprueft
15.06.2009 02:05	15.06.2009 02:10	220	U	ungeprueft
15.06.2009 02:10	15.06.2009 02:15	220	U	ungeprueft
15.06.2009 02:15	15.06.2009 02:20	220	U	ungeprueft
15.06.2009 02:20	15.06.2009 02:25	220	U	ungeprueft
15.06.2009 02:25	15.06.2009 02:30	220	U	ungeprueft
15.06.2009 02:30	15.06.2009 02:35	220	U	ungeprueft
